0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43
CT,I,,"Tấm PLYWOOD (Foil, ván, chỉ khách mang đến) màu 613 vân gỗ, keo PUR (Gervin) = 1 tấm",,,24,,,,,,45.102,8.033999999999999,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
CT,1,,,753,347,2,Vát 347,T,T,T,V,3.706,0.694,0,0,0,,347,,,,,,,,,,,,,,,,,,,,,,,,,
CT,2,,,361,780,2,Vát 780,V,T,T,T,3.842,0.722,0,0,0,,780,,,,,,,,,,,,,,,,,,,,,,,,,
CT,3,,,753,300,1,Vát 300,T,T,T,V,1.806,0.3,0,0,0,,300,,,,,,,,,,,,,,,,,,,,,,,,,
CT,4,,,753,319,3,Vát 319,T,T,T,V,5.475,0.9570000000000001,0,0,0,,319,,,,,,,,,,,,,,,,,,,,,,,,,
CT,5,,,740,310,4,Vát 310,T,T,T,V,7.16,1.24,0,0,0,,310,,,,,,,,,,,,,,,,,,,,,,,,,
CT,6,,,660,363,2,Vát 363,T,T,T,V,3.366,0.726,0,0,0,,660,,,,,,,,,,,,,,,,,,,,,,,,,
CT,7,,,740,292,2,Vát 292,T,T,T,V,3.544,0.584,0,0,0,,740,,,,,,,,,,,,,,,,,,,,,,,,,
CT,8,,,740,357,2,Vát 357,T,T,T,V,3.674,0.714,0,0,0,,357,,,,,,,,,,,,,,,,,,,,,,,,,
CT,9,,,370,780,1,,T,T,T,T,2.3,0,0,0,0,,780,,,,,,,,,,,,,,,,,,,,,,,,,
CT,10,,,370,780,1,Vát 780,V,T,T,T,1.93,0.37,0,0,0,Kính đố 70 hèm s5r10,370,,,,,,,,,,,,,,,,,,,,,,,,,
CT,11,,,740,290,1,Vát 290,T,T,T,V,1.77,0.29,0,0,0,,740,,,,,,,,,,,,,,,,,,,,,,,,,
CT,12,,,393,481,2,Vát 481,T,T,T,V,2.534,0.962,0,0,0,,481,,,,,,,,,,,,,,,,,,,,,,,,,
CT,13,,,1760,475,1,Vát 475,T,T,T,V,3.995,0.475,0,0,0,,475,,,,,,,,,,,,,,,,,,,,,,,,,
CT,B,,"Tính giá bán sản phẩm, dịch vụ:",,,,,Đơn vị,,,Số lượng,Đơn giá,Đơn giá chỉ,,,,THÀNH TIỀN,,,,,,,,,,,,,,,,,,,,,,,,,,
GC,1,,"Tấm PLYWOOD (Foil, ván, chỉ khách mang đến) màu 613 vân gỗ, keo PUR (Gervin) = 1 tấm",,,,,tấm,,,3,,,,,,0,Chỉ Laminate , bản rộng 21mm, bản rộng 44mm,,,,,,,,,,,,,,,,,,,,,,,
GC,2,,Công cắt tấm,,,,,tấm,,,3,50000,,,,,150000,,,,,,,,,,,,,,,,,,,,,,,,,,
GC,3,,"Dán cạnh thẳng laminate, melamine sử dụng keo chống thấm nước PUR:
Áp dụng cho tấm ván có chiều rộng từ 60mm trở lên, độ dày ván 9-21mm, sử dụng máy dán Homag, Cộng hòa LB Đức.",,,,,m,,,47.357099999999996,12000,,,,,568285.2,,,,,,,,,,,,,,,,,,,,,,,,,,
GC,4,,"Dán cạnh Vát sử dụng máy dán acrylic:
Áp dụng cho tấm ván có chiều rộng từ 60mm trở lên, độ dày ván 9-21mm + Công hoàn thiện sản phẩm",,,,,m,,,8.435699999999999,25000,,,,,210892.49999999997,,,,,,,,,,,,,,,,,,,,,,,,,,
GC,5,,"Nhân công và vật liệu đóng gói melamin, laminate",,,,,tấm,,,3,40000,,,,,120000,,,,,,,,,,,,,,,,,,,,,,,,,,
GC,6,,Giao hàng tại Vinh ,,,,,lần,,,1,100000,,,,,100000,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,TỔNG TIỀN HÀNG:,1149000,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Công nợ:,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Đã CK:,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Còn lại:,1149000,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ghi chú: ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"- Dán cạnh thẳng tích chữ ""T"", dán cạnh vát 45 độ tích chữ ""V"" vào ô dán cạnh tương ứng.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"- Chiều  vân ván điền vào cột ""CAO"" ở bảng trên.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,XÁC NHẬN BÊN MUA HÀNG,,,NGƯỜI CHÀO GIÁ,,,,,KẾ TOÁN XÁC NHẬN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"(Ký, ghi rõ họ tên)",,,"(Ký, ghi rõ họ tên)",,,,,"(Ký, ghi rõ họ tên)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,,Đơn giá trên chưa bao gồm VAT.Đúng sai ±1 mm.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,,"Ứng trước 50% tiền đơn hàng gia công, thanh toán 50% còn lại trước khi lấy hàng tại kho, giao hàng tại nhà máy bên bán sau 2 đến 3 ngày. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3,,Khi mua tấm Quý khách vui lòng thanh toán 100% tiền hàng trước khi chuyển hàng ra khỏi kho bên bán.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4,,Quý khách có thể thanh toán bằng tiền mặt hoặc chuyển khoản vào một trong các tài khoản sau:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5,,"Bảo hành cong vênh, bong tróc 12 tháng, bảo trì vĩnh viễn. Không bảo hành mối và ngập nước.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
